,Postcode,latitude,longitude,Straat,Netnummer,Postcodenummer,Buurt,Wijk,Plaats,Gemeente,Provincie
0,1059 BV,52.346156709352,4.847356884347,"
Generaal Vetterstraat 2 - 24 

",020,1059,Aalsmeerwegbuurt Oost,Hoofddorppleinbuurt,Amsterdam,Amsterdam,Noord-Holland
0,5682 JP,51.522232689876,5.3905567129997,"
Dijkbeemd 1 - 11 

",0499,5682,Buitengebied,Wijk 00 Best,Best,Best,Noord-Brabant
0,1083 TT,52.332583228305,4.8844277562734,"
Havikshorst 2 - 50 

",020,1083,Buitenveldert Oost Midden,Buitenveldert-Oost,Amsterdam,Amsterdam,Noord-Holland
0,2555 TL,52.070281167805,4.2387259815708,"
Dotterbloemlaan 65 - 91 

",070,2555,Bohemen en Meer en Bos,Wijk 14 Bohemen en Meer en Bos,Den Haag,'s-Gravenhage,Zuid-Holland
0,9718 AS,53.215010758534,6.557994737331,"
Westerkade 15 - 24 

",050,9718,Binnenstad-West,Centrum,Groningen,Groningen,Groningen
0,3555 ER,52.119623793723,5.0748627682955,"
Burgemeester Norbruislaan 396 - 434 

",030,3555,Zuilen-Noord,Wijk 02 Noordwest,Utrecht,Utrecht,Utrecht
0,2562 TX,52.070756376926,4.2797854095175,"
De Réaumurstraat 2 - 32 

",070,2562,Valkenboskwartier,Wijk 20 Valkenboskwartier,Den Haag,'s-Gravenhage,Zuid-Holland
0,1261 ZW,52.290485088667,5.2722544270372,"
Stroomzijde 1 - 98 

",035,1261,Blaricummermeent,Blaricum,Blaricum,Blaricum,Noord-Holland
0,3742 AA,52.21199278957,5.300120621881,"
Tromplaan 1 - 33 

",035,3742,Schoonoordpark,Wijk 00 Baarn,Baarn,Baarn,Utrecht
0,6821 CJ,51.989443098039,5.912293251112,"
Van Slichtenhorststraat 1 - 27 

",026,6821,Graaf Ottoplein e.o.,St. Marten/Sonsbeek,Arnhem,Arnhem,Gelderland
0,7411 CW,52.250662442776,6.1656284154345,"
Raamstraat 12 - 92 

",0570,7411,Raambuurt,Wijk 1 Binnenstad,Deventer,Deventer,Overijssel
0,1087 NE,52.346569167573,5.0110190766126,"
Emmy Andriessestraat 411 - 586 

",020,1087,Haveneiland Oost,IJburg Zuid,Amsterdam,Amsterdam,Noord-Holland
0,1403 RH,52.265423196073,5.1703334424331,"
Laarderweg 141 - 181 

",035,1403,Midden Eng-West,Eng,Bussum,Gooise Meren,Noord-Holland
0,1181 AL,52.3208032814,4.8629594307556,"
Oosterhoutlaan 11 - 37 

",020,1181,Randwijck Oost,Randwijck,Amstelveen,Amstelveen,Noord-Holland
0,7514 AK,52.225157826064,6.8842781570951,"
Hengelosestraat 84 - 118 

",053,7514,Boddenkamp,Wijk 00 Binnensingelgebied,Enschede,Enschede,Overijssel
0,2561 TR,52.076849353971,4.2793086966153,"
Daguerrestraat 139 - 173 

",070,2561,Koningsplein en omgeving,Wijk 21 Regentessekwartier,Den Haag,'s-Gravenhage,Zuid-Holland
0,9711 NA,53.217568953541,6.5679497398036,"
Gelkingestraat 1 - 25 

",050,9711,Binnenstad-Zuid,Centrum,Groningen,Groningen,Groningen
0,2514 KE,52.086516245115,4.3105899342142,"
Prinses Mariestraat 4 - 20 

",070,2514,Willemspark,Wijk 23 Willemspark,Den Haag,'s-Gravenhage,Zuid-Holland
0,2518 GT,52.083574813062,4.2930347174434,"
Zoutmanstraat 72 - 106 

",070,2518,Zeeheldenkwartier,Wijk 22 Zeeheldenkwartier,Den Haag,'s-Gravenhage,Zuid-Holland
0,8111 ND,52.316538495795,6.2732326419106,"
Zonnenbergerdijk 1 - 24 

",0572,8111,Verspreide huizen Heeten,Wijk 02 Heeten,Heeten,Raalte,Overijssel
0,1404 DN,52.27592760302,5.160138418017,"
Julianaplein 26 - 88 

",035,1404,Raadhuisplein,Bussum Centrum,Bussum,Gooise Meren,Noord-Holland
0,2596 XZ,52.089983513267,4.317716835654,"
Mesdagstraat 74 - 120 

",070,2596,Nassaubuurt,Wijk 04 Benoordenhout,Den Haag,'s-Gravenhage,Zuid-Holland
0,3511 AD,52.093910802375,5.1163381838669,"
Oudegracht 55 - 91 

",030,3511,Wijk C,Wijk 06 Binnenstad,Utrecht,Utrecht,Utrecht
0,2565 KH,52.077103624272,4.2710359637946,"
Acaciastraat 166 - 178 

",070,2565,Bomenbuurt,Wijk 12 Bomen- en Bloemenbuurt,Den Haag,'s-Gravenhage,Zuid-Holland
0,2596 EP,52.093307701773,4.3245845856611,"
Van Hoytemastraat 69 - 113 

",070,2596,Van Hoytemastraat en omgeving,Wijk 04 Benoordenhout,Den Haag,'s-Gravenhage,Zuid-Holland
0,9724 BC,53.210811496131,6.5721273122236,"
Lodewijkstraat 2 - 12 

",050,9724,Oosterpoort,Oud-Zuid,Groningen,Groningen,Groningen
0,1622 EG,52.637364113098,5.0365435194028,"
Poolster 95 - 107 

",0229,1622,Grote Waal - Buurt 13 04,Wijk 13 Grote Waal,Hoorn,Hoorn,Noord-Holland
0,2042 LA,52.375258480351,4.5307769560273,"
Zeestraat 33 - 51 

",023,2042,Centrum,Zandvoort Zuid,Zandvoort,Zandvoort,Noord-Holland
0,6826 KV,51.984095075021,5.9500146739935,"
Cloekplein 84 - 122 

",026,6826,Winkelcentrum,Presikhaaf-Oost,Arnhem,Arnhem,Gelderland
0,5623 AX,51.454993907185,5.4763291812988,"
Veldmaarschalk Montgomerylaan 783 - 845 

",040,5623,Kronehoef,Wijk 14 Stadsdeel Woensel-Zuid,Eindhoven,Eindhoven,Noord-Brabant
0,2011 AS,52.382974265831,4.6443838851589,"
Scheepmakersdijk 3 - 75 

",023,2011,Burgwal,Oude Stad,Haarlem,Haarlem,Noord-Holland
0,3122 HK,51.933795996683,4.3688774146398,"
Rossinistraat 1 - 23 

",010,3122,Groenoord-Noord,Wijk 07 Groenoord en Kethel,Schiedam,Schiedam,Zuid-Holland
0,2629 HM,51.991024027616,4.3726954158288,"
Wassenaarstraat 1 - 22 

",015,2629,Bedrijventerrein Rotterdamseweg-Zuid,Wijk 29 Ruiven,Delft,Delft,Zuid-Holland
